USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
FL,12001,308548,Alachua County,2267912994,241289851,875.646,93.163,29.67574,-82.357221                                                                                                                
FL,12003,306920,Baker County,1515738965,9686120,585.23,3.74,30.324442,-82.302284                                                                                                                      
FL,12005,295738,Bay County,1964821464,1833967782,758.622,708.099,30.15914,-85.534395                                                                                                                  
FL,12007,303634,Bradford County,761368539,16898784,293.966,6.525,29.952386,-82.166698                                                                                                                 
FL,12009,295749,Brevard County,2628752387,1403951179,1014.967,542.069,28.298311,-80.700333                                                                                                            
FL,12011,295753,Broward County,3115495915,273317277,1202.9,105.528,26.193535,-80.476683                                                                                                               
FL,12013,306919,Calhoun County,1469394597,18070425,567.336,6.977,30.388801,-85.197915                                                                                                                 
FL,12015,295742,Charlotte County,1764084561,689244725,681.117,266.119,26.906396,-82.003657                                                                                                            
FL,12017,295752,Citrus County,1507201245,981107661,581.934,378.808,28.850292,-82.595552                                                                                                               
FL,12019,295726,Clay County,1565900894,100869769,604.598,38.946,29.986584,-81.865036                                                                                                                  
FL,12021,295754,Collier County,5172193058,1574828913,1996.995,608.045,26.118786,-81.400955                                                                                                            
FL,12023,306909,Columbia County,2065197086,10207202,797.377,3.941,30.221651,-82.623371                                                                                                                
FL,12027,294452,DeSoto County,1649031786,6243548,636.695,2.411,27.190581,-81.806253                                                                                                                   
FL,12029,295725,Dixie County,1826030990,876346098,705.035,338.359,29.552675,-83.236232                                                                                                                
FL,12031,293656,Duval County,1975183356,403625849,762.623,155.841,30.335245,-81.648113                                                                                                                
FL,12033,295737,Escambia County,1701615126,1213961378,656.997,468.713,30.529998,-87.320322                                                                                                            
FL,12035,308547,Flagler County,1259229653,219207667,486.191,84.637,29.474891,-81.286253                                                                                                               
FL,12037,306911,Franklin County,1411539848,2270399638,544.999,876.606,29.677794,-84.815213                                                                                                            
FL,12039,306918,Gadsden County,1337405282,31475262,516.375,12.153,30.578687,-84.612607                                                                                                                
FL,12041,303633,Gilchrist County,905705571,14362143,349.695,5.545,29.723456,-82.795801                                                                                                                
