USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
AR,5001,63755,Arkansas County,2569631426,120698186,992.14,46.602,34.28957,-91.376547                                                                                                                
AR,5003,63756,Ashley County,2397012344,38656004,925.492,14.925,33.190835,-91.772267                                                                                                                 
AR,5005,69895,Baxter County,1434675033,84916246,553.931,32.786,36.280268,-92.329949                                                                                                                 
AR,5007,69896,Benton County,2195617499,94872468,847.733,36.63,36.337819,-94.256298                                                                                                                  
AR,5009,69897,Boone County,1527375316,31797985,589.723,12.277,36.304299,-93.079236                                                                                                                  
AR,5011,63757,Bradley County,1681335016,9505606,649.167,3.67,33.466549,-92.169156                                                                                                                   
AR,5013,63758,Calhoun County,1628067844,9887802,628.601,3.818,33.56046,-92.513879                                                                                                                   
AR,5015,66975,Carroll County,1631504874,22715757,629.928,8.771,36.33737,-93.540972                                                                                                                  
AR,5017,69160,Chicot County,1649764401,140413175,636.978,54.214,33.267139,-91.297158                                                                                                                
AR,5019,66845,Clark County,2242855174,43965580,865.971,16.975,34.053316,-93.176208                                                                                                                  
AR,5021,63759,Clay County,1655581941,5497697,639.224,2.123,36.367302,-90.418704                                                                                                                     
AR,5023,66983,Cleburne County,1434747668,98885396,553.959,38.18,35.593628,-92.008898                                                                                                                
AR,5025,63760,Cleveland County,1548580962,2561701,597.91,0.989,33.893201,-92.188714                                                                                                                 
AR,5027,63761,Columbia County,1984098878,1985830,766.065,0.767,33.223038,-93.232843                                                                                                                 
AR,5029,66846,Conway County,1429476459,37739626,551.924,14.571,35.26569,-92.689249                                                                                                                  
AR,5031,66847,Craighead County,1831551609,14310137,707.166,5.525,35.827729,-90.631421                                                                                                               
AR,5033,69161,Crawford County,1541738664,26917846,595.269,10.393,35.582959,-94.236193                                                                                                               
AR,5035,69162,Crittenden County,1584585353,82932241,611.812,32.02,35.197559,-90.30512                                                                                                               
AR,5037,66848,Cross County,1596255187,15389371,616.318,5.942,35.285692,-90.763984                                                                                                                   
AR,5039,66849,Dallas County,1728358302,1731378,667.323,0.668,33.967823,-92.653999                                                                                                                   
AR,5041,66850,Desha County,1919768424,185180909,741.227,71.499,33.828752,-91.244103                                                                                                                 
AR,5043,66851,Drew County,2146237578,18789748,828.667,7.255,33.587242,-91.722778                                                                                                                    
AR,5045,66852,Faulkner County,1676362419,43607253,647.247,16.837,35.146548,-92.336928                                                                                                               
AR,5047,66853,Franklin County,1577218107,28853849,608.967,11.141,35.508558,-93.887665                                                                                                               
AR,5049,66854,Fulton County,1600597359,6357861,617.994,2.455,36.381322,-91.819285                                                                                                                   
AR,5051,66855,Garland County,1755013632,147452175,677.615,56.932,34.578852,-93.146932                                                                                                               
AR,5053,66856,Grant County,1636581704,2896901,631.888,1.118,34.285568,-92.422979                                                                                                                    
AR,5055,66857,Greene County,1495304325,5273183,577.34,2.036,36.120607,-90.566346                                                                                                                    
AR,5057,66858,Hempstead County,1883439299,35737908,727.2,13.798,33.735953,-93.664355                                                                                                                
AR,5059,66859,Hot Spring County,1592697307,18725590,614.944,7.23,34.315177,-92.944147                                                                                                               
AR,5061,66872,Howard County,1521182023,21361761,587.332,8.248,34.083064,-93.990931                                                                                                                  
AR,5063,69163,Independence County,1978003733,20251226,763.712,7.819,35.737499,-91.559942                                                                                                            
AR,5065,66860,Izard County,1502713748,9576574,580.201,3.698,36.094879,-91.913625                                                                                                                    
AR,5067,66861,Jackson County,1641044497,20284491,633.611,7.832,35.596467,-91.223205                                                                                                                 
AR,5069,66862,Jefferson County,2259364694,113071690,872.346,43.657,34.277239,-91.929673                                                                                                             
AR,5071,66863,Johnson County,1711955744,59529091,660.99,22.984,35.573359,-93.466322                                                                                                                 
AR,5073,66864,Lafayette County,1371327391,43028604,529.472,16.613,33.240629,-93.611514                                                                                                              
AR,5075,66865,Lawrence County,1521690359,12395693,587.528,4.786,36.041098,-91.101153                                                                                                                
AR,5077,66866,Lee County,1553493435,57858191,599.807,22.339,34.779505,-90.779717                                                                                                                    
AR,5079,66873,Lincoln County,1449008946,26693606,559.466,10.306,33.956385,-91.742355                                                                                                                
AR,5081,66874,Little River County,1375943076,83115228,531.255,32.091,33.701941,-94.236287                                                                                                           
AR,5083,82850,Logan County,1836599800,53969487,709.115,20.838,35.218654,-93.72091                                                                                                                   
AR,5085,69164,Lonoke County,1998752694,82011970,771.723,31.665,34.755114,-91.894132                                                                                                                 
AR,5087,69165,Madison County,2160665373,7455733,834.238,2.879,36.012545,-93.724053                                                                                                                  
AR,5089,69898,Marion County,1545182806,112951239,596.598,43.611,36.266664,-92.678577                                                                                                                
AR,5091,69166,Miller County,1616257232,36848741,624.04,14.227,33.305505,-93.901502                                                                                                                  
AR,5093,69899,Mississippi County,2336409875,72224609,902.093,27.886,35.766944,-90.052207                                                                                                            
AR,5095,69167,Monroe County,1573316559,35707672,607.461,13.787,34.679512,-91.20331                                                                                                                  
AR,5097,69168,Montgomery County,2021363886,52979164,780.453,20.455,34.545656,-93.664153                                                                                                             
AR,5099,69169,Nevada County,1600067809,7489490,617.79,2.892,33.666699,-93.305072                                                                                                                    
AR,5101,69900,Newton County,2126576324,5935910,821.076,2.292,35.910742,-93.215898                                                                                                                   
AR,5103,69170,Ouachita County,1897739679,18183261,732.721,7.021,33.591168,-92.878413                                                                                                                
AR,5105,69171,Perry County,1427953392,24428560,551.336,9.432,34.946363,-92.926877                                                                                                                   
AR,5107,69172,Phillips County,1788024156,95966883,690.36,37.053,34.423687,-90.855593                                                                                                                
AR,5109,69173,Pike County,1554861226,35284868,600.335,13.624,34.158191,-93.658659                                                                                                                   
AR,5111,69174,Poinsett County,1963975401,13892744,758.295,5.364,35.56887,-90.681104                                                                                                                 
AR,5113,69175,Polk County,2219200784,12520930,856.838,4.834,34.49096,-94.230894                                                                                                                     
AR,5115,69901,Pope County,2100355865,50772506,810.952,19.603,35.456557,-93.026818                                                                                                                   
AR,5117,69176,Prairie County,1677059907,72638195,647.516,28.046,34.831116,-91.55362                                                                                                                 
AR,5119,69177,Pulaski County,1964166348,126982682,758.369,49.028,34.770311,-92.312996                                                                                                               
AR,5121,69178,Randolph County,1688445994,10370823,651.913,4.004,36.341298,-91.028441                                                                                                                
AR,5123,83331,St. Francis County,1644082975,20017606,634.784,7.729,35.022838,-90.751506                                                                                                             
AR,5125,67102,Saline County,1873898605,17955554,723.516,6.933,34.648525,-92.674463                                                                                                                  
AR,5127,69179,Scott County,2312470682,14373451,892.85,5.55,34.858869,-94.063641                                                                                                                     
AR,5129,69180,Searcy County,1724618501,6461828,665.879,2.495,35.896387,-92.695888                                                                                                                   
AR,5131,69181,Sebastian County,1375759906,34508912,531.184,13.324,35.196981,-94.274989                                                                                                              
AR,5133,69182,Sevier County,1459636820,45919661,563.569,17.73,33.994877,-94.243279                                                                                                                  
AR,5135,69183,Sharp County,1566002724,5220542,604.637,2.016,36.173399,-91.471069                                                                                                                    
AR,5137,69902,Stone County,1570673289,8145444,606.44,3.145,35.857001,-92.140482                                                                                                                     
AR,5139,69903,Union County,2691170081,42102269,1039.067,16.256,33.168219,-92.598145                                                                                                                 
AR,5141,69904,Van Buren County,1837779987,37206288,709.571,14.365,35.582953,-92.515976                                                                                                              
AR,5143,69905,Washington County,2438377043,27867454,941.463,10.76,35.978001,-94.217269                                                                                                              
AR,5145,69906,White County,2677959079,20840622,1033.966,8.047,35.255118,-91.753034                                                                                                                  
AR,5147,69907,Woodruff County,1517662707,21064563,585.973,8.133,35.192777,-91.244535                                                                                                                
AR,5149,69908,Yell County,2409688595,46994485,930.386,18.145,34.997713,-93.408303                                                                                                                   
